;
"Umsätze Depot ";"Zeitraum: 01.11.2014 - 04.11.2019";

"Buchungstag";"Geschäftstag";"Stück / Nom.";"Bezeichnung";"WKN";"Währung";"Ausführungskurs";"Umsatz in EUR";
"12.07.2017";"07.07.2017";"7.902";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"46,51";"367,50";
"12.06.2017";"07.06.2017";"7.735";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"47,51";"367,49";
"11.05.2017";"08.05.2017";"7.668";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"47,93";"367,49";
"12.04.2017";"07.04.2017";"7.656";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"48,00";"367,47";
"10.03.2017";"07.03.2017";"7.675";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"47,88";"367,49";
"10.02.2017";"07.02.2017";"7.941";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"46,28";"367,48";
"13.01.2017";"09.01.2017";"7.937";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"46,30";"367,46";
"12.12.2016";"07.12.2016";"7.915";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"44,22";"349,97";
"10.11.2016";"07.11.2016";"8.418";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"41,57";"349,97";
"12.10.2016";"07.10.2016";"5.973";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"41,85";"249,96";
"09.09.2016";"07.09.2016";"5.893";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"42,42";"250,00";
"11.08.2016";"08.08.2016";"5.9";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"42,37";"249,99";
"12.07.2016";"07.07.2016";"6.16";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"40,58";"249,99";
"10.06.2016";"07.06.2016";"6.164";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"40,55";"249,97";
"12.05.2016";"09.05.2016";"6.381";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"39,18";"249,99";
"12.04.2016";"07.04.2016";"6.449";"COMS.-MSCI WORL.T.U.ETF I";"ETF110";"EUR";"38,76";"249,96";

